chrom	chromStart	chromEnd	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr12	49487944	49488709	765	*	-1.46012108801465	13.1410897921319	94003	30188	30196	9	10	0.014622396532889	0.824	0.037805118286502	0.956
chr2	220107847	220108496	649	*	-1.59391882566253	12.7513506053002	242066	79412	79419	8	8	0.011515249198589	0.828	0.041539067676713	0.964
chr6	32825045	32826281	1236	*	-1.20289405690403	14.4347286828484	350435	114186	114197	12	12	0.013207614749548	0.844	0.027462884363975	0.944
chr19	10541207	10541704	497	*	-1.50955413721658	12.0764330977327	200795	65192	65199	8	8	0.016395350919608	0.86	0.048801017210194	0.972
chr2	201450323	201450743	420	*	-1.25840549643582	13.842460460794	239122	78597	78607	11	14	0.015643188452515	0.872	0.031993767796701	0.956
chr17	48585465	48586147	682	*	-1.25383303010742	13.7921633311816	179038	58979	58989	11	14	0.015902863589964	0.876	0.032307168824657	0.956
chr3	127633887	127634587	700	*	-1.2983400542579	12.983400542579	291194	93062	93071	10	11	0.019233868801375	0.876	0.039139311234084	0.964
chr14	24640895	24641501	606	*	-1.21208250515698	13.3329075567268	121079	39016	39026	11	12	0.018472752019198	0.896	0.036157524310966	0.956
chr17	7348316	7348736	420	*	-1.28580856266505	12.8580856266505	169613	54918	54927	10	12	0.020218843460664	0.896	0.040303372195061	0.964
chr8	144654887	144655553	666	*	-1.28369187514273	12.8369187514273	410278	131027	131036	10	10	0.020344203871846	0.896	0.040509321442003	0.964
chr7	130125932	130126871	939	*	-1.26841836389077	12.6841836389077	385154	125189	125198	10	19	0.021615716613836	0.92	0.042255412883469	0.964
chr20	45985311	45985741	430	*	-1.25448767756332	12.5448767756332	255200	83120	83129	10	11	0.022735005999391	0.928	0.043741829187485	0.964
chr5	141030927	141031380	453	*	-1.14712728925204	12.6184001817725	336236	106401	106411	11	15	0.022332061820591	0.932	0.043007575350561	0.964
chr6	30039380	30039801	421	*	-1.22218643497472	12.2218643497472	349220	110417	110426	10	28	0.025627249771665	0.94	0.047234012070417	0.968
chr17	17109640	17110207	567	*	-1.21966670484481	12.1966670484481	171542	55624	55633	10	13	0.025869016278945	0.944	0.047529504468203	0.968
chr2	160918900	160919532	632	*	-1.2052150386051	12.052150386051	234687	76977	76986	10	13	0.027131574705851	0.948	0.04909650960798	0.972
chr14	74100355	74100987	632	*	-1.19971456883656	11.9971456883656	127475	41385	41394	10	11	0.027561381829904	0.948	0.049669585773384	0.972
