seqnames,start,end,width,LoopAnchors,Enhancers,Promoters
chr1,9400603,9401036,434,NA,NA,NA
chr1,9652788,9653832,1045,green,NA,NA
chr1,9686994,9688335,1342,NA,NA,blue
chr1,9688886,9690307,1422,NA,NA,blue
chr1,9824437,9824892,456,NA,NA,blue
chr1,9849584,9850401,818,NA,NA,NA
chr1,10451390,10452008,619,NA,NA,NA
chr1,10530292,10530692,401,green,NA,NA
chr1,11731615,11732371,757,NA,purple,NA
chr1,11735689,11736115,427,NA,NA,blue
chr1,11847929,11848295,367,green,NA,blue
chr1,12174983,12175626,644,NA,NA,NA
chr1,12178971,12179472,502,NA,NA,NA
chr1,12472904,12473743,840,NA,purple,NA
chr1,12478223,12479067,845,NA,purple,NA
chr1,12615955,12616828,874,NA,NA,NA
chr1,13730477,13731672,1196,NA,purple,NA
chr1,15089852,15090830,979,NA,NA,NA
chr1,15177612,15178040,429,NA,NA,NA
chr1,15247406,15247606,201,NA,NA,blue
chr1,15384426,15385037,612,NA,NA,NA
chr1,15386025,15386524,500,NA,NA,NA
chr1,15836894,15837849,956,green,purple,NA
chr1,15951152,15952001,850,NA,purple,NA
chr1,16217532,16218024,493,NA,NA,NA
chr1,16278673,16279291,619,green,NA,NA
chr1,16498268,16498585,318,NA,NA,NA
chr1,16699291,16699547,257,NA,NA,blue
chr1,16914718,16915050,333,NA,purple,NA
chr1,16978545,16979335,791,NA,NA,blue
chr1,17293895,17294459,565,NA,NA,NA
chr1,17349847,17350399,553,NA,NA,NA
chr1,17355952,17357084,1133,NA,purple,NA
chr1,17440409,17441961,1553,NA,NA,blue
chr1,18908470,18909342,873,green,purple,NA
chr1,18925412,18926191,780,NA,NA,NA
chr1,18928062,18928455,394,NA,purple,NA
chr1,18949403,18951270,1868,NA,purple,NA
chr1,19180019,19180648,630,NA,purple,NA
chr1,19325305,19326196,892,green,NA,NA
chr1,19612836,19613839,1004,NA,NA,NA
chr1,19645118,19646460,1343,NA,NA,NA
chr1,19647388,19648183,796,NA,NA,NA
chr1,19704457,19704830,374,NA,NA,NA
chr1,20596845,20597435,591,NA,purple,NA
chr1,20682595,20683264,670,NA,NA,NA
chr1,21814149,21814937,789,NA,purple,NA
chr1,21815729,21816267,539,NA,purple,NA
chr1,21902011,21902560,550,NA,purple,NA
chr1,21904122,21905045,924,NA,purple,NA
chr1,22128123,22128548,426,NA,NA,NA
chr1,23799527,23799985,459,green,NA,NA
chr1,24567888,24568695,808,NA,NA,NA
chr1,24572523,24572901,379,NA,NA,NA
chr1,24705097,24705891,795,green,NA,NA
chr1,24869817,24871302,1486,green,NA,NA
chr1,24896836,24897329,494,green,NA,NA
chr1,24909521,24909824,304,green,NA,NA
chr1,24914295,24914686,392,green,purple,NA
chr1,25006797,25007293,497,NA,NA,NA
chr1,25026818,25027523,706,NA,NA,NA
chr1,25028746,25029879,1134,NA,NA,NA
chr1,25031830,25033418,1589,green,purple,NA
chr1,25034530,25035356,827,green,purple,NA
chr1,25544458,25545410,953,green,NA,NA
chr1,25754715,25755298,584,NA,NA,NA
chr1,25765367,25766419,1053,NA,NA,NA
chr1,25875899,25876253,355,NA,NA,blue
chr1,25906836,25907297,462,green,NA,blue
chr1,26127401,26128124,724,NA,purple,NA
chr1,26154735,26155169,435,green,NA,NA
chr1,26315253,26315939,687,NA,NA,NA
chr1,26336596,26337065,470,NA,NA,NA
chr1,26530419,26531502,1084,green,NA,NA
chr1,26621725,26621990,266,green,purple,NA
chr1,26960258,26960977,720,NA,NA,blue
chr1,27357197,27357677,481,green,NA,NA
chr1,27359791,27361365,1575,green,NA,NA
chr1,27369186,27369520,335,green,NA,NA
chr1,27526873,27527517,645,NA,NA,NA
chr1,27528451,27528930,480,NA,NA,NA
chr1,27555464,27556186,723,green,purple,NA
chr1,27568234,27569141,908,green,purple,NA
chr1,27575125,27576415,1291,NA,NA,NA
chr1,27873634,27874116,483,green,NA,NA
chr1,28883605,28884375,771,green,NA,blue
chr1,30749789,30750070,282,NA,NA,NA
chr1,30753293,30754100,808,NA,NA,NA
chr1,31586871,31587355,485,NA,NA,NA
chr1,31703640,31704974,1335,NA,NA,blue
chr1,31771751,31772340,590,NA,NA,NA
chr1,31944944,31945281,338,NA,NA,blue
chr1,32248298,32248894,597,NA,NA,NA
chr1,32249848,32250856,1009,green,NA,blue
chr1,32334614,32334998,385,NA,NA,NA
chr1,32361549,32362629,1081,NA,NA,NA
chr1,32702154,32702491,338,NA,NA,NA
chr1,32753469,32755169,1701,NA,NA,NA
chr1,33255384,33255892,509,NA,NA,blue
chr1,33361370,33362334,965,NA,NA,NA
chr1,35576451,35577278,828,green,NA,NA
chr1,35578284,35578526,243,green,NA,blue
chr1,35707170,35707499,330,NA,NA,NA
chr1,36122956,36123718,763,green,NA,NA
chr1,36306113,36306656,544,NA,NA,blue
chr1,36320258,36322764,2507,green,NA,blue
chr1,36400952,36401380,429,NA,purple,NA
chr1,37946076,37946715,640,NA,NA,NA
chr1,37995590,37996289,700,green,purple,NA
chr1,38114153,38114597,445,NA,NA,NA
chr1,39104779,39105157,379,green,NA,NA
chr1,39574962,39575459,498,NA,NA,NA
chr1,39960026,39960631,606,NA,NA,NA
chr1,40388628,40389104,477,NA,purple,NA
chr1,40708855,40709944,1090,NA,purple,NA
chr1,40840675,40841741,1067,green,NA,NA
chr1,41662635,41663178,544,green,purple,NA
chr1,41917031,41917656,626,NA,purple,NA
chr1,41919910,41920408,499,NA,NA,NA
chr1,42463553,42464011,459,NA,NA,NA
chr1,42784910,42785748,839,green,NA,blue
chr1,42943118,42943890,773,green,purple,NA
chr1,43549928,43550723,796,NA,NA,NA
chr1,43649254,43649450,197,NA,NA,blue
chr1,44595015,44595436,422,NA,NA,NA
chr1,44631386,44632946,1561,NA,purple,NA
chr1,44786312,44786846,535,green,NA,NA
chr1,44808204,44808635,432,green,NA,blue
chr1,44831670,44831976,307,green,NA,NA
chr1,46465810,46466263,454,NA,NA,NA
chr1,47224459,47225407,949,NA,NA,blue
chr1,47235215,47236131,917,NA,NA,NA
chr1,52927888,52928330,443,NA,NA,blue
chr1,53316063,53317599,1537,NA,NA,NA
chr1,53368633,53369082,450,NA,NA,blue
chr1,53574875,53575579,705,NA,NA,NA
chr1,53685557,53686408,852,NA,NA,NA
chr1,54121862,54122332,471,green,NA,NA
chr1,54220502,54221046,545,green,purple,NA
chr1,54253973,54254670,698,NA,NA,NA
chr1,54287124,54287730,607,NA,purple,NA
chr1,54378565,54379232,668,NA,purple,NA
chr1,54380016,54380472,457,NA,NA,NA
chr1,54475358,54476303,946,NA,purple,NA
chr1,54487198,54488063,866,NA,purple,NA
chr1,54564303,54564944,642,NA,NA,NA
chr1,55212457,55213449,993,NA,NA,NA
chr1,58578175,58578933,759,NA,NA,blue
chr1,58922215,58922874,660,green,NA,NA
chr1,63592683,63593212,530,green,NA,blue
chr1,64505890,64506400,511,NA,NA,NA
chr1,65001083,65001722,640,NA,NA,NA
chr1,65003305,65003719,415,NA,NA,blue
chr1,65149203,65149916,714,NA,NA,NA
chr1,65264610,65264996,387,NA,NA,NA
chr1,67134783,67135280,498,NA,NA,NA
chr1,67684268,67684717,450,NA,NA,blue
chr1,67735503,67736791,1289,NA,purple,NA
chr1,68293521,68293955,435,NA,NA,NA
chr1,86154993,86155776,784,NA,NA,NA
chr1,87132636,87132929,294,green,NA,NA
chr1,87179046,87179576,531,NA,NA,NA
chr1,87332084,87332384,301,green,NA,NA
chr1,87334512,87335088,577,green,purple,NA
chr1,89259397,89259954,558,NA,NA,blue
chr1,89632043,89632525,483,green,NA,blue
chr1,92482384,92482835,452,NA,NA,NA
chr1,94417478,94417935,458,NA,NA,blue
chr1,101235541,101236095,555,NA,NA,blue
chr1,107057693,107059025,1333,NA,NA,NA
chr1,107844088,107844694,607,green,purple,NA
chr1,107962177,107963432,1256,green,NA,blue
chr1,108660740,108660918,179,NA,NA,blue
chr1,108661507,108661897,391,NA,NA,blue
chr1,109273840,109274199,360,green,NA,NA
chr1,109283725,109284085,361,green,NA,blue
chr1,109766918,109767416,499,green,NA,NA
chr1,109793913,109794695,783,green,NA,NA
chr1,110209334,110209882,549,green,NA,blue
chr1,113933598,113934921,1324,NA,NA,NA
chr1,115793111,115793514,404,NA,NA,NA
chr1,116569790,116570251,462,green,NA,NA
chr1,119631212,119631478,267,NA,NA,NA
chr1,119737118,119737816,699,NA,NA,NA
chr1,119893961,119895185,1225,NA,NA,NA
chr1,120942144,120942700,557,NA,NA,blue
chr1,121518845,121519968,1124,NA,NA,blue
chr1,145962903,145963731,829,green,NA,blue
chr1,147177936,147178272,337,green,NA,NA
chr1,148361227,148363116,1890,NA,NA,blue
chr1,149746872,149748529,1658,NA,NA,blue
chr1,149849016,149849819,804,NA,NA,blue
chr1,150162337,150163811,1475,NA,NA,NA
chr1,150622042,150622867,826,NA,NA,NA
chr1,150975128,150975659,532,NA,NA,blue
chr1,151057879,151058670,792,NA,NA,blue
chr1,151130902,151131850,949,NA,NA,blue
chr1,151457268,151458222,955,green,NA,NA
chr1,151815751,151816210,460,NA,NA,NA
chr1,153774862,153775415,554,NA,purple,NA
chr1,153789482,153790203,722,NA,NA,NA
chr1,153880930,153882072,1143,green,purple,NA
chr1,154342885,154343196,312,NA,purple,NA
chr1,154501382,154501873,492,NA,NA,blue
chr1,154951700,154952791,1092,green,NA,blue
chr1,154970434,154971304,871,NA,NA,NA
chr1,155004054,155004367,314,NA,NA,NA
chr1,155178673,155178915,243,green,purple,NA
chr1,155192737,155193007,271,NA,NA,blue
chr1,155207618,155208355,738,green,NA,blue
chr1,155243535,155243984,450,NA,NA,NA
chr1,155514460,155514957,498,NA,NA,NA
chr1,156076414,156077110,697,NA,NA,NA
chr1,156245443,156245679,237,NA,NA,NA
chr1,156388456,156388909,454,green,NA,NA
chr1,156480732,156481023,292,green,NA,NA
chr1,160205971,160206440,470,green,NA,NA
chr1,160522454,160523299,846,NA,NA,blue
chr1,166840469,166841344,876,NA,NA,NA
chr1,166883910,166884824,915,green,NA,NA
chr1,167628606,167629887,1282,NA,NA,blue
chr1,167654775,167655840,1066,NA,purple,NA
chr1,167697779,167698125,347,NA,purple,NA
chr1,168084739,168085202,464,NA,NA,NA
chr1,169692120,169692653,534,NA,purple,NA
chr1,171654924,171655593,670,NA,NA,NA
chr1,173406587,173407137,551,NA,NA,NA
chr1,175192908,175193525,618,NA,NA,blue
chr1,180953243,180954552,1310,NA,NA,NA
chr1,181099186,181100649,1464,NA,NA,NA
chr1,184153060,184153402,343,NA,purple,NA
chr1,184386053,184386299,247,NA,NA,blue
chr1,200242532,200243095,564,NA,NA,NA
chr1,200410590,200411506,917,NA,NA,blue
chr1,200891707,200892658,952,NA,NA,NA
chr1,201015645,201016561,917,NA,NA,NA
chr1,201426415,201426723,309,NA,NA,NA
chr1,201494041,201494841,801,green,NA,NA
chr1,201540284,201541012,729,green,NA,NA
chr1,201553479,201554489,1011,green,NA,NA
chr1,201555349,201556113,765,green,NA,NA
chr1,202199374,202199721,348,green,NA,NA
chr1,202966572,202967096,525,NA,NA,blue
chr1,203290077,203291020,944,green,NA,NA
chr1,203629826,203630126,301,NA,NA,NA
chr1,203649998,203650948,951,green,purple,NA
chr1,204327295,204327645,351,NA,NA,NA
chr1,204357335,204358520,1186,NA,NA,NA
chr1,204360079,204361699,1621,NA,NA,NA
chr1,204369160,204369889,730,NA,NA,blue
chr1,205774216,205774640,425,NA,NA,blue
chr1,206728369,206729041,673,green,NA,NA
chr1,206930067,206930502,436,NA,purple,NA
chr1,207024919,207025323,405,green,purple,NA
chr1,207836930,207837456,527,green,NA,NA
chr1,207866487,207867876,1390,green,purple,NA
chr1,207941910,207942715,806,NA,purple,NA
chr1,207958480,207959047,568,NA,NA,blue
chr1,207959501,207960104,604,NA,NA,NA
chr1,207962690,207963206,517,NA,purple,NA
chr1,208164731,208165047,317,NA,NA,NA
chr1,208219526,208220166,641,NA,NA,NA
chr1,209747516,209748232,717,NA,purple,NA
chr1,210343187,210343795,609,NA,NA,NA
chr1,211514775,211515169,395,green,NA,NA
chr1,211527787,211528476,690,green,NA,NA
chr1,212166492,212167374,883,NA,NA,blue
chr1,212558079,212558579,501,NA,NA,NA
chr1,220877265,220877670,406,green,NA,blue
chr1,220887296,220887874,579,green,NA,NA
chr1,224340673,224341341,669,NA,NA,NA
chr1,224432175,224433220,1046,NA,NA,blue
chr1,225880916,225881645,730,NA,NA,NA
chr1,225883424,225883642,219,NA,NA,blue
chr1,225919799,225920866,1068,NA,purple,NA
chr1,225951058,225951585,528,NA,NA,NA
chr1,225978076,225978832,757,NA,NA,NA
chr1,226016965,226017498,534,green,NA,NA
chr1,226100831,226101337,507,NA,NA,NA
chr1,226656180,226657210,1031,green,purple,NA
chr1,226711792,226712913,1122,NA,purple,NA
chr1,226737003,226737308,306,green,NA,NA
chr1,226827563,226828166,604,NA,purple,NA
chr1,226912633,226912906,274,NA,NA,NA
chr1,227885719,227886110,392,NA,NA,NA
chr1,228073844,228074171,328,NA,NA,NA
chr1,228157429,228157730,302,NA,NA,NA
chr1,228162468,228163572,1105,NA,NA,NA
chr1,228213958,228214335,378,NA,NA,blue
chr1,228378044,228378610,567,NA,NA,NA
chr1,228938627,228939013,387,green,purple,NA
chr1,229058084,229059200,1117,NA,NA,NA
chr1,229147068,229147563,496,NA,NA,NA
chr1,229199831,229200363,533,NA,purple,NA
chr1,229253023,229253749,727,green,purple,NA
chr1,229396711,229397223,513,NA,NA,NA
chr1,230068732,230069331,600,NA,purple,NA
chr1,230145568,230145954,387,NA,purple,NA
chr1,230274306,230274786,481,NA,NA,NA
chr1,230277088,230278024,937,NA,NA,NA
chr1,230280822,230281227,406,NA,NA,NA
chr1,230291795,230292172,378,NA,NA,NA
chr1,230977062,230977897,836,NA,NA,blue
chr1,231028316,231028981,666,NA,NA,NA
chr1,231690054,231690600,547,NA,NA,NA
chr1,231694712,231695082,371,NA,NA,NA
chr1,232977987,232979101,1115,NA,NA,NA
chr1,234474713,234476036,1324,green,purple,NA
chr1,234862774,234863268,495,green,NA,NA
chr1,234918356,234918890,535,green,NA,NA
chr1,234978351,234978801,451,NA,NA,NA
chr1,235642840,235643371,532,NA,NA,NA
chr1,235937076,235937776,701,NA,NA,NA
chr1,235972133,235972485,353,NA,NA,blue
chr1,236396260,236396744,485,NA,NA,NA
chr1,243389557,243390726,1170,NA,NA,NA
chr1,243482397,243483711,1315,NA,NA,NA
chr1,243508044,243508589,546,NA,purple,NA
chr1,245258638,245259029,392,NA,NA,NA
chr1,246582417,246582890,474,NA,purple,NA
chr1,246784491,246785039,549,NA,purple,NA
chr1,246788773,246789411,639,NA,NA,NA
chr1,247322575,247323010,436,NA,purple,NA
chr1,247332630,247333337,708,NA,NA,blue
chr1,247335891,247336389,499,NA,NA,NA
chr1,247347580,247348439,860,NA,NA,NA
chr2,1957645,1958283,639,NA,NA,NA
chr2,2681816,2682395,580,NA,NA,NA
chr2,2705789,2706561,773,NA,NA,NA
chr2,3779630,3780106,477,NA,NA,NA
chr2,7431173,7431702,530,green,purple,NA
chr2,7835207,7836202,996,green,NA,NA
chr2,8234813,8235409,597,green,NA,NA
chr2,8456092,8456533,442,NA,purple,NA
chr2,8479303,8479578,276,green,NA,NA
chr2,8584051,8584592,542,NA,NA,NA
chr2,8586006,8586433,428,NA,NA,NA
chr2,8657664,8657969,306,NA,NA,NA
chr2,8664056,8664380,325,NA,NA,NA
chr2,8684703,8685076,374,NA,NA,NA
chr2,9473395,9474173,779,NA,purple,blue
chr2,9739472,9739953,482,NA,NA,NA
chr2,9792673,9793060,388,green,NA,NA
chr2,10330887,10331621,735,green,purple,NA
chr2,10398319,10398977,659,NA,purple,NA
chr2,10400896,10401384,489,NA,purple,NA
chr2,10432752,10432999,248,NA,NA,NA
chr2,11696663,11696915,253,green,NA,NA
chr2,11747578,11750574,2997,green,purple,NA
chr2,15141898,15142681,784,NA,NA,NA
chr2,20642478,20642714,237,NA,NA,NA
chr2,23658441,23658898,458,NA,NA,NA
chr2,24083431,24083890,460,NA,purple,NA
chr2,24492344,24492793,450,green,NA,NA
chr2,24886390,24886935,546,NA,purple,NA
chr2,24926835,24927443,609,NA,NA,NA
chr2,25202331,25202633,303,NA,NA,blue
chr2,25215742,25216710,969,NA,purple,NA
chr2,25250564,25250973,410,NA,purple,NA
chr2,25275517,25277827,2311,NA,purple,NA
chr2,25290774,25291607,834,NA,NA,NA
chr2,25294109,25294577,469,NA,purple,NA
chr2,25340209,25340657,449,green,NA,NA
chr2,25822082,25822699,618,NA,NA,blue
chr2,26477174,26477691,518,NA,NA,NA
chr2,27716418,27716934,517,green,NA,blue
chr2,27735105,27736057,953,green,NA,NA
chr2,28347973,28348495,523,NA,NA,NA
chr2,28355884,28356365,482,NA,NA,NA
chr2,28409248,28409615,368,NA,NA,NA
chr2,28410317,28411004,688,NA,NA,NA
chr2,29011443,29011888,446,green,purple,NA
chr2,31136725,31137112,388,NA,NA,NA
chr2,31239447,31240265,819,NA,NA,NA
chr2,32627186,32627640,455,green,NA,blue
chr2,36967411,36968086,676,NA,NA,blue
chr2,37626173,37626922,750,green,purple,NA
chr2,37653255,37654214,960,green,purple,NA
chr2,37855159,37855505,347,NA,NA,NA
chr2,38095842,38096594,753,NA,NA,NA
chr2,42102433,42103029,597,green,purple,NA
chr2,42569283,42569621,339,NA,purple,NA
chr2,42879816,42880511,696,green,NA,NA
chr2,42905558,42906023,466,green,purple,NA
chr2,43004776,43006507,1732,green,NA,blue
chr2,43032320,43032617,298,green,NA,NA
chr2,43039376,43039799,424,green,NA,blue
chr2,43046371,43046929,559,green,NA,NA
chr2,43050209,43050890,682,NA,NA,NA
chr2,43100639,43101398,760,green,NA,NA
chr2,43170638,43171302,665,green,purple,NA
chr2,43178132,43178855,724,green,purple,NA
chr2,45236950,45237369,420,NA,NA,NA
chr2,45652509,45653199,691,green,NA,NA
chr2,45771026,45771909,884,NA,NA,NA
chr2,45794316,45794736,421,NA,NA,NA
chr2,45985138,45985445,308,green,NA,NA
chr2,46543516,46544316,801,NA,NA,blue
chr2,47335196,47335477,282,NA,NA,blue
chr2,47521527,47521921,395,green,NA,NA
chr2,48530886,48531756,871,NA,NA,NA
chr2,54596422,54597772,1351,NA,purple,NA
chr2,54672960,54674086,1127,NA,purple,NA
chr2,55133331,55134247,917,NA,purple,NA
chr2,55223588,55224041,454,NA,NA,blue
chr2,57720714,57721381,668,NA,NA,NA
chr2,58428809,58429435,627,NA,NA,NA
chr2,58757812,58758474,663,green,NA,NA
chr2,60023760,60024407,648,NA,NA,NA
chr2,60439584,60439932,349,NA,NA,blue
chr2,60482107,60483349,1243,NA,purple,NA
chr2,60545810,60547031,1222,NA,purple,NA
chr2,60741535,60741914,380,NA,NA,NA
chr2,62293533,62294004,472,NA,NA,NA
chr2,64606733,64608219,1487,green,NA,blue
chr2,64642900,64643606,707,green,NA,blue
chr2,64729995,64730965,971,green,purple,NA
chr2,64859061,64860358,1298,NA,NA,NA
chr2,65382303,65384354,2052,NA,purple,blue
chr2,66555012,66556526,1515,NA,purple,NA
chr2,68767435,68767825,391,NA,purple,NA
chr2,69804365,69804811,447,NA,NA,NA
chr2,69948398,69949027,630,green,NA,NA
chr2,69978503,69978752,250,green,NA,NA
chr2,70258610,70259018,409,NA,NA,NA
chr2,70984426,70985250,825,NA,NA,NA
chr2,71067559,71067889,331,NA,NA,NA
chr2,73981237,73981865,629,NA,NA,blue
chr2,73982726,73984353,1628,NA,NA,blue
chr2,73987254,73988049,796,NA,NA,NA
chr2,74002039,74003324,1286,NA,NA,NA
chr2,74026201,74027308,1108,NA,purple,NA
chr2,74414907,74415468,562,NA,NA,blue
chr2,74497574,74498507,934,green,NA,NA
chr2,74502104,74502579,476,green,NA,blue
chr2,74552226,74552726,501,NA,NA,NA
chr2,74555674,74556248,575,NA,NA,blue
chr2,85413575,85414484,910,green,NA,NA
chr2,85434804,85435256,453,green,NA,NA
chr2,85661036,85661481,446,green,NA,NA
chr2,85887788,85888318,531,green,NA,blue
chr2,86036970,86037520,551,NA,purple,NA
chr2,86914008,86914902,895,NA,NA,NA
chr2,87824624,87825914,1291,NA,NA,blue
chr2,90244961,90245664,704,NA,NA,NA
chr2,96148625,96148921,297,green,NA,blue
chr2,96157727,96158361,635,green,purple,NA
chr2,96163681,96164391,711,NA,purple,NA
chr2,96254413,96255118,706,NA,NA,NA
chr2,96325826,96326306,481,NA,NA,NA
chr2,96800611,96801461,851,NA,NA,NA
chr2,96839239,96839971,733,NA,NA,NA
chr2,96866477,96867127,651,green,NA,NA
chr2,96870678,96871441,764,green,NA,blue
chr2,96924225,96924751,527,NA,purple,NA
chr2,97761184,97761614,431,green,purple,NA
chr2,98769717,98770042,326,NA,NA,NA
chr2,99771684,99772802,1119,NA,purple,NA
chr2,99867665,99868080,416,NA,NA,NA
chr2,100105288,100105608,321,NA,NA,NA
chr2,100234994,100235770,777,NA,NA,NA
chr2,101399606,101401565,1960,green,NA,NA
chr2,101696497,101697037,541,NA,NA,blue
chr2,102250795,102251189,395,green,NA,blue
chr2,102304769,102305603,835,green,NA,NA
chr2,104658289,104659849,1561,NA,NA,blue
chr2,105363252,105363799,548,green,NA,NA
chr2,105746090,105746841,752,NA,NA,NA
chr2,106095667,106096261,595,green,purple,NA
chr2,108531111,108531495,385,NA,purple,NA
chr2,108620656,108621545,890,green,purple,NA
chr2,109130106,109130564,459,green,NA,blue
chr2,109135289,109135747,459,green,NA,NA
chr2,109171398,109171779,382,NA,NA,NA
chr2,109352051,109352838,788,NA,NA,NA
chr2,109403040,109403583,544,NA,NA,NA
chr2,109482564,109483591,1028,NA,NA,NA
chr2,110876964,110877391,428,NA,NA,NA
chr2,111974967,111975461,495,NA,NA,NA
chr2,112729364,112729720,357,NA,NA,NA
chr2,113181187,113182022,836,NA,purple,NA
chr2,120264895,120265392,498,NA,purple,NA
chr2,120302635,120303244,610,NA,NA,NA
chr2,120654502,120654676,175,NA,NA,NA
chr2,121257687,121258213,527,NA,NA,NA
chr2,126658584,126659591,1008,NA,NA,NA
chr2,126661671,126663013,1343,NA,NA,NA
chr2,127081009,127082379,1371,NA,purple,NA
chr2,127084652,127085298,647,NA,purple,NA
chr2,127087342,127088319,978,NA,purple,NA
chr2,127092850,127094093,1244,NA,NA,NA
chr2,127415534,127416152,619,NA,NA,NA
chr2,127615624,127615996,373,NA,NA,NA
chr2,127830728,127831187,460,NA,NA,blue
chr2,128346845,128347213,369,NA,NA,NA
chr2,128372810,128373192,383,NA,NA,NA
chr2,128520771,128521340,570,NA,NA,blue
chr2,128638388,128638929,542,NA,NA,NA
chr2,130355115,130355448,334,NA,NA,blue
chr2,131041235,131041495,261,NA,NA,NA
chr2,134967127,134967800,674,NA,NA,NA
chr2,135053030,135053255,226,green,NA,NA
chr2,136025443,136025992,550,green,NA,NA
chr2,136119849,136120169,321,green,NA,blue
chr2,136246063,136246661,599,NA,NA,NA
chr2,137963996,137965041,1046,NA,NA,blue
chr2,144379697,144380400,704,NA,NA,NA
chr2,144451838,144453692,1855,NA,purple,NA
chr2,144508413,144509489,1077,NA,NA,NA
chr2,144522409,144523191,783,green,NA,NA
chr2,144580614,144583705,3092,NA,purple,NA
chr2,157840670,157841471,802,NA,NA,NA
chr2,158795047,158795737,691,NA,NA,blue
chr2,158967234,158968058,825,NA,NA,blue
chr2,160062665,160063275,611,NA,NA,blue
chr2,161992627,161993723,1097,NA,purple,NA
chr2,169768064,169769201,1138,NA,NA,blue
chr2,172339505,172340708,1204,NA,purple,NA
chr2,172554894,172555318,425,NA,NA,blue
chr2,174012566,174013322,757,NA,NA,blue
chr2,174663269,174663994,726,NA,purple,NA
chr2,174666773,174668218,1446,NA,purple,NA
chr2,177906065,177906581,517,NA,NA,NA
chr2,181656495,181656651,157,NA,NA,NA
chr2,189581768,189583334,1567,NA,purple,NA
chr2,200376603,200377199,597,NA,NA,NA
chr2,200861077,200861951,875,green,NA,NA
chr2,201126093,201126899,807,green,NA,NA
chr2,201887989,201888681,693,green,NA,NA
chr2,201933565,201934313,749,NA,NA,NA
chr2,202171298,202171703,406,NA,NA,NA
chr2,204109809,204110185,377,NA,NA,NA
chr2,207040492,207041238,747,green,NA,NA
chr2,208025824,208026246,423,NA,NA,blue
chr2,208183404,208184372,969,NA,NA,NA
